Date,Open,High,Low,Close,Volume,Symbol
2025-05-09,2238.890215459796,2271.9739140193233,2231.893683536484,2249.884765625,1006000,ADANIENT.NS
2025-05-12,2348.83564865776,2432.094424922625,2313.8529900607296,2424.098388671875,2147039,ADANIENT.NS
2025-05-13,2423.798310957276,2453.6833966474073,2403.8082217947417,2439.990234375,1815174,ADANIENT.NS
2025-05-14,2443.6883558263253,2480.6700208339184,2428.8958850390027,2460.679931640625,774441,ADANIENT.NS
2025-05-15,2462.1794097318534,2525.548144584563,2449.485750756614,2518.75146484375,1554800,ADANIENT.NS
2025-05-16,2527.7470125022933,2582.919614979549,2514.9533054302583,2553.734130859375,1641135,ADANIENT.NS
2025-05-19,2570.0260488858057,2577.5223328669103,2534.7434901441416,2539.34130859375,680957,ADANIENT.NS
2025-05-20,2543.73899410475,2563.5292323323647,2491.2650069964984,2500.360595703125,628023,ADANIENT.NS
2025-05-21,2508.456329082108,2523.249044098219,2482.46921276341,2499.160888671875,529234,ADANIENT.NS
2025-05-22,2499.1608937153155,2520.650239945298,2464.0784330260626,2486.367431640625,906909,ADANIENT.NS
2025-05-23,2497.7617701733207,2546.837539215961,2489.2659818393977,2538.741455078125,968415,ADANIENT.NS
2025-05-26,2547.836952675605,2567.6269460481503,2540.0407689732688,2546.4375,552912,ADANIENT.NS
2025-05-27,2544.6383383986686,2567.827037371545,2524.8483450630174,2539.041259765625,514936,ADANIENT.NS
2025-05-28,2557.7321058026837,2557.7321058026837,2508.7563835735587,2513.75390625,575989,ADANIENT.NS
2025-05-29,2535.4429496749003,2557.7319482427265,2509.7557335042934,2539.541015625,802317,ADANIENT.NS
2025-05-30,2548.736551144164,2562.7296145622104,2512.554535967148,2518.6513671875,684592,ADANIENT.NS
2025-06-02,2525.747890109581,2562.7295568820605,2513.653787962611,2517.552001953125,1008716,ADANIENT.NS
2025-06-03,2509.7557646100518,2511.2550213392096,2450.784999929848,2469.675537109375,962656,ADANIENT.NS
2025-06-04,2478.7712588394816,2501.759863256138,2439.890629847002,2488.16650390625,552667,ADANIENT.NS
2025-06-05,2493.763690992279,2528.8463960365434,2486.2674073520216,2503.158935546875,673209,ADANIENT.NS
2025-06-06,2513.653849667894,2552.0349701046575,2502.759347878047,2532.9443359375,640680,ADANIENT.NS
2025-06-09,2543.7390843020257,2602.8099009205994,2523.2492409903593,2580.82080078125,1711167,ADANIENT.NS
2025-06-10,2598.7118127956924,2661.880451133563,2576.4228126743196,2611.805419921875,2084054,ADANIENT.NS
2025-06-11,2628.696765552828,2629.5962219712037,2561.8300138772324,2579.9208984375,745432,ADANIENT.NS
2025-06-12,2590.2158152489756,2600.510760019358,2528.7462907890827,2542.439453125,955097,ADANIENT.NS
2025-06-13,2498.0,2516.0,2460.0,2507.89990234375,695869,ADANIENT.NS
2025-06-16,2500.0,2563.300048828125,2462.0,2544.0,956459,ADANIENT.NS
2025-06-17,2535.0,2539.60009765625,2479.0,2488.5,703343,ADANIENT.NS
2025-06-18,2491.89990234375,2495.89990234375,2445.39990234375,2459.10009765625,667044,ADANIENT.NS
2025-06-19,2466.300048828125,2468.89990234375,2405.10009765625,2420.60009765625,688209,ADANIENT.NS
2025-06-20,2428.0,2461.300048828125,2415.0,2448.39990234375,3002549,ADANIENT.NS
2025-06-23,2438.0,2492.60009765625,2421.0,2472.0,790533,ADANIENT.NS
2025-06-24,2504.0,2544.60009765625,2500.199951171875,2505.60009765625,996372,ADANIENT.NS
2025-06-25,2519.89990234375,2541.60009765625,2512.10009765625,2527.199951171875,921346,ADANIENT.NS
2025-06-26,2535.0,2593.60009765625,2522.199951171875,2586.199951171875,1339627,ADANIENT.NS
2025-06-27,2587.699951171875,2681.60009765625,2582.0,2646.300048828125,4049316,ADANIENT.NS
2025-06-30,2650.0,2653.89990234375,2605.89990234375,2619.39990234375,694814,ADANIENT.NS
2025-07-01,2624.89990234375,2645.0,2603.0,2621.800048828125,729197,ADANIENT.NS
2025-07-02,2634.0,2646.0,2613.60009765625,2630.199951171875,621409,ADANIENT.NS
2025-07-03,2634.0,2644.0,2605.10009765625,2611.199951171875,502724,ADANIENT.NS
2025-07-04,2617.0,2617.0,2582.199951171875,2599.10009765625,370305,ADANIENT.NS
2025-07-07,2602.0,2605.39990234375,2572.0,2576.10009765625,412159,ADANIENT.NS
2025-07-08,2586.0,2600.0,2573.0,2591.300048828125,357686,ADANIENT.NS
2025-07-09,2599.0,2609.89990234375,2570.0,2583.0,396880,ADANIENT.NS
2025-07-10,2591.0,2604.0,2575.0,2581.0,306565,ADANIENT.NS
2025-07-11,2575.0,2591.89990234375,2551.89990234375,2558.699951171875,390645,ADANIENT.NS
2025-07-14,2555.0,2604.800048828125,2543.5,2581.300048828125,536585,ADANIENT.NS
2025-07-15,2588.0,2606.89990234375,2576.0,2598.199951171875,379425,ADANIENT.NS
2025-07-16,2602.5,2619.5,2595.5,2608.5,686644,ADANIENT.NS
2025-07-17,2612.0,2654.5,2605.300048828125,2616.60009765625,785771,ADANIENT.NS
2025-07-18,2612.0,2626.699951171875,2584.199951171875,2596.10009765625,479942,ADANIENT.NS
2025-07-21,2596.300048828125,2624.89990234375,2585.0,2619.5,369782,ADANIENT.NS
2025-07-22,2626.0,2630.0,2581.60009765625,2587.800048828125,387055,ADANIENT.NS
2025-07-23,2600.699951171875,2625.89990234375,2593.5,2614.5,316424,ADANIENT.NS
2025-07-24,2615.39990234375,2624.199951171875,2595.0,2608.39990234375,253782,ADANIENT.NS
2025-07-25,2605.0,2617.0,2544.10009765625,2550.10009765625,424612,ADANIENT.NS
2025-07-28,2549.0,2585.0,2512.60009765625,2522.300048828125,428409,ADANIENT.NS
